A,B,C
2.66e45,2.35e44,6.49725796337e-05
3.99e43,1.56e43,0.00384668506534
3.69e44,1.90e44,1.90244151591e-05
3.47e45,1.28e43,1.46565917582e-05
5.48e43,4.06e43,1.95916510827e-05
1.28e45,5.92e43,0.000285524572728
6.45e44,4.22e43,0.000837548999166
9.77e43,8.90e43,0.00142789214727
3.95e44,4.37e43,0.00193219004926
5.36e44,4.45343,0.00217860696119
2.81e43,5.23e43,2.32744079022e-05
2.01e45,3.7e44,4.56567293395e-06
8.19e45,7.33e44,9.23696260625e-05
1.66e44,3.06e43,0.0303799984195
7.28e44,5.35e43,0.000106653040178
1.18e45,3.47e44,0.000248237731876
1.78e44,1.52e44,0.00015401398495
1.57e45,3.99e44,0.000769202764432
2.07e45,4.85e44,2.7122507704e-05
1.48e45,1.82e44,5.17719644029e-06
1.12e45,6.22e43,9.95174578578e-05
9.34e44,1.25e44,6.45578008834e-08
6.98e44,1.16e44,0.0012371602294
4.11e44,1.82e44,0.000137575590115
4.19e45,5.80e44,0.00160845751386
2.81e44,1.44e44,0.000634027835286
2.93e45,5.11e44,8.5228740382e-05
8.02e44,5.17e43,4.79694968918e-05
7.05e44,1.77e44,0.000358662272349
5.36e44,4.45e43,4.75631976052e-05
1.91e45,4.41e44,8.80875473273e-05
8.01e43,8.02e43,7.40430290483e-05
1.63e45,9.07e43,8.35898312527e-05
1.32e45,3.76e44,0.000393005065056
1.01e45,5.54e43,0.000432420453922
6.82e44,3.90e44,0.000905654074845
1.58e44,3.66e43,0.000106509988531
4.69e44,2.25e44,0.00862490121859
6.73e44,6.35e44,4.82090642851e-05
1.19e44,1.81e44,0.000454056772407
8.45e44,4.69e43,2.06244696528e-11
2.03e45,3.18e44,1.56828961992e-05
2.26e44,2.27e44,0.000250908942762
9.33e44,9.22e43,0.0179894290283
1.98e45,1.96e44,0.000488940037315
4.85e45,5.90e44,0.000850945161441
2.94e44,1.17e44,0.00010625633611
3.45e44,1.09e44,0.00314409075363
7.25e44,2.72e44,0.000392595909408
1.59e45,1.18e44,0.00152913270517
3.34e45,1.23e44,0.000151066218166
1.19e45,2.87e44,0.000130086973338
1.52e44,3.65e43,4.53456531278e-18
9.22e45,4.57e44,0.00187944261981
1.47e45,1.37e44,1.53245419866e-05
2.43e44,2.69e43,0.00658842679
3.99e45,6.26e44,0.000448488695549
1.34e46,1.15e45,1.38651909624
2.24e44,3.72e43,0.000163852069018
1.83e45,2.75e44,1.74110607457e-05
1.83e45,8.44e43,0.000160899957324
1.57e45,7.28e43,7.46301730976e-05
3.47e45,9.61e43,0.001258294186
4.96e44,9.64e43,0.000128878896255
2.89e44,7.87e43,0.00213442930034
1.76e45,1.63e44,0.00439474030845
1.18e45,5.45e43,0.000130902008751
1.82e44,3.36e43,0.000144920820451
5.56e44,5.12e43,0.000138178932672
9.08e44,5.85e43,0.000846385707196
5.44e44,1.10e44,0.000132672469016
8.59e44,3.95e43,
5.84e44,4.84e43,
2.07e45,7.69e43,
1.41e45,5.23e43,
3.38e44,3.12e43,
9.04e44,3.34e43,
1.32e43,5.22e43,
2.89e44,8.75e43,
6.62e44,2.14e44,
4.59e44,4.64e43,
2.73e44,3.28e43,
1.01e45,5.65e43,
2.20e45,8.13e43,
4.22e44,1.78e44,
5.85e43,7.93e43,
5.17e44,1.31e44,
3.41e45,1.42e44,
1.07e45,5.97e43,
1.48e45,1.32e44,
3.18e44,4.10e43,
8.92e44,1.23e44,
3.46e44,1.95e43,
9.01e44,4.97e43,
6.52e44,7.80e43,
1.02e45,5.66e43,
3.11e44,1.34e44,
